Index,Implementation,Solution,Label,Passes,Duration,Threads,Algorithm,Faithful,Bits,PassesPerSecond
1,java,1,MansenC+pez-boolean-array,10562,5.00000,1,base,yes,8,2112.40000
2,java,1,pez-bitset,4824,5.00000,1,base,yes,1,964.80000
