Index,Implementation,Solution,Label,Passes,Duration,Threads,Algorithm,Faithful,Bits,PassesPerSecond
1,cpp,3,flo80_pol_constexpr,324330648,5.00001,1,base,no,1,64865960.94850
2,cpp,3,flo80_pol_constexpr,281729339,5.00110,8,base,no,1,7041687.12051
