Index,Implementation,Solution,Label,Passes,Duration,Threads,Algorithm,Faithful,Bits,PassesPerSecond
1,java,1,MansenC+pez-boolean-array,14838,5.00000,1,base,yes,8,2967.60000
2,java,1,pez-bitset,4830,5.00000,1,base,yes,1,966.00000
